district,date,month,year,visitors
Jangaon0,01-07-2018,July,2018,0
Jangaon0,01-08-2018,August,2018,0
Jangaon0,01-09-2018,September,2018,0
Jangaon0,01-10-2018,October,2018,0
Jangaon0,01-11-2018,November,2018,0
Jangaon0,01-12-2018,December,2018,0
Jayashankar0Bhoopalpally,01-01-2018,January,2018,50
Jayashankar0Bhoopalpally,01-02-2018,February,2018,60
Jayashankar0Bhoopalpally,01-03-2018,March,2018,70
Jayashankar0Bhoopalpally,01-04-2018,April,2018,45
Jayashankar0Bhoopalpally,01-05-2018,May,2018,40
Jayashankar0Bhoopalpally,01-06-2018,June,2018,35
Jayashankar0Bhoopalpally,01-07-2018,July,2018,40
Jayashankar0Bhoopalpally,01-08-2018,August,2018,35
Jayashankar0Bhoopalpally,01-09-2018,September,2018,40
Jayashankar0Bhoopalpally,01-10-2018,October,2018,40
Jayashankar0Bhoopalpally,01-11-2018,November,2018,40
Jayashankar0Bhoopalpally,01-12-2018,December,2018,44
Jogulamba0Gadwal0,01-01-2018,January,2018,36
Jogulamba0Gadwal0,01-02-2018,February,2018,6
Jogulamba0Gadwal0,01-03-2018,March,2018,22
Jogulamba0Gadwal0,01-04-2018,April,2018,15
Jogulamba0Gadwal0,01-05-2018,May,2018,19
Jogulamba0Gadwal0,01-06-2018,June,2018,19
Jogulamba0Gadwal0,01-07-2018,July,2018,37
Jogulamba0Gadwal0,01-08-2018,August,2018,42
Jogulamba0Gadwal0,01-09-2018,September,2018,35
Jogulamba0Gadwal0,01-10-2018,October,2018,13
Jogulamba0Gadwal0,01-11-2018,November,2018,45
Jogulamba0Gadwal0,01-12-2018,December,2018,11
Kamareddy0,01-01-2018,January,2018,0
Kamareddy0,01-02-2018,February,2018,0
Kamareddy0,01-03-2018,March,2018,0
Kamareddy0,01-04-2018,April,2018,0
Kamareddy0,01-05-2018,May,2018,0
Kamareddy0,01-06-2018,June,2018,0
Kamareddy0,01-07-2018,July,2018,0
Kamareddy0,01-08-2018,August,2018,0
Kamareddy0,01-09-2018,September,2018,0
Kamareddy0,01-10-2018,October,2018,0
Kamareddy0,01-11-2018,November,2018,0
Kamareddy0,01-12-2018,December,2018,0
Karimnagar0,01-01-2018,January,2018,0
Karimnagar0,01-02-2018,February,2018,0
Karimnagar0,01-03-2018,March,2018,0
Karimnagar0,01-04-2018,April,2018,0
Karimnagar0,01-05-2018,May,2018,0
Karimnagar0,01-06-2018,June,2018,0
Karimnagar0,01-07-2018,July,2018,0
Karimnagar0,01-08-2018,August,2018,0
Karimnagar0,01-09-2018,September,2018,0
Karimnagar0,01-10-2018,October,2018,0
Karimnagar0,01-11-2018,November,2018,0
Karimnagar0,01-12-2018,December,2018,0
Khammam,01-01-2018,January,2018,0
Khammam,01-02-2018,February,2018,0
Khammam,01-03-2018,March,2018,0
Khammam,01-04-2018,April,2018,0
Khammam,01-05-2018,May,2018,0
Khammam,01-06-2018,June,2018,0
Khammam,01-07-2018,July,2018,0
Khammam,01-08-2018,August,2018,0
Khammam,01-09-2018,September,2018,0
Khammam,01-10-2018,October,2018,0
Khammam,01-11-2018,November,2018,0
Khammam,01-12-2018,December,2018,0
Komaram0Bheem0Asifabad,01-01-2018,January,2018,0
Komaram0Bheem0Asifabad,01-02-2018,February,2018,0
Komaram0Bheem0Asifabad,01-03-2018,March,2018,0
Komaram0Bheem0Asifabad,01-04-2018,April,2018,0
Komaram0Bheem0Asifabad,01-05-2018,May,2018,0
Komaram0Bheem0Asifabad,01-06-2018,June,2018,0
Komaram0Bheem0Asifabad,01-07-2018,July,2018,0
Komaram0Bheem0Asifabad,01-08-2018,August,2018,0
Komaram0Bheem0Asifabad,01-09-2018,September,2018,0
Komaram0Bheem0Asifabad,01-10-2018,October,2018,0
Komaram0Bheem0Asifabad,01-11-2018,November,2018,0
Komaram0Bheem0Asifabad,01-12-2018,December,2018,0
Mahabubabad0,01-01-2018,January,2018,0
Mahabubabad0,01-02-2018,February,2018,0
Mahabubabad0,01-03-2018,March,2018,0
Mahabubabad0,01-04-2018,April,2018,0
Mahabubabad0,01-05-2018,May,2018,0
Mahabubabad0,01-06-2018,June,2018,0
Mahabubabad0,01-07-2018,July,2018,0
Mahabubabad0,01-08-2018,August,2018,0
Mahabubabad0,01-09-2018,September,2018,0
Mahabubabad0,01-10-2018,October,2018,0
Mahabubabad0,01-11-2018,November,2018,0
Mahabubabad0,01-12-2018,December,2018,0
Mahbubnagar,01-01-2018,January,2018,45
Mahbubnagar,01-02-2018,February,2018,29
Mahbubnagar,01-03-2018,March,2018,28
Mahbubnagar,01-04-2018,April,2018,26
Mahbubnagar,01-05-2018,May,2018,26
Mahbubnagar,01-06-2018,June,2018,26
Mahbubnagar,01-07-2018,July,2018,47
Mahbubnagar,01-08-2018,August,2018,44
Mahbubnagar,01-09-2018,September,2018,52
Mahbubnagar,01-10-2018,October,2018,37
Mahbubnagar,01-11-2018,November,2018,68
Mahbubnagar,01-12-2018,December,2018,26
Mancherial,01-01-2018,January,2018,0
Mancherial,01-02-2018,February,2018,0
Mancherial,01-03-2018,March,2018,0
Mancherial,01-04-2018,April,2018,0
Mancherial,01-05-2018,May,2018,0
Mancherial,01-06-2018,June,2018,0
Mancherial,01-07-2018,July,2018,0
Mancherial,01-08-2018,August,2018,0
Mancherial,01-09-2018,September,2018,0
Mancherial,01-10-2018,October,2018,0
Mancherial,01-11-2018,November,2018,0
Mancherial,01-12-2018,December,2018,0
Medak0,01-01-2018,January,2018,0
Medak0,01-02-2018,February,2018,0
Medak0,01-03-2018,March,2018,0
Medak0,01-04-2018,April,2018,0
Medak0,01-05-2018,May,2018,0
Medak0,01-06-2018,June,2018,0
Medak0,01-07-2018,July,2018,0
Medak0,01-08-2018,August,2018,0
Medak0,01-09-2018,September,2018,0
Medak0,01-10-2018,October,2018,0
Medak0,01-11-2018,November,2018,0
Medak0,01-12-2018,December,2018,0
Medchal0,01-01-2018,January,2018,0
Medchal0,01-02-2018,February,2018,0
Medchal0,01-03-2018,March,2018,0
Medchal0,01-04-2018,April,2018,0
Medchal0,01-05-2018,May,2018,0
Medchal0,01-06-2018,June,2018,0
Medchal0,01-07-2018,July,2018,0
Medchal0,01-08-2018,August,2018,0
Medchal0,01-09-2018,September,2018,0
Medchal0,01-10-2018,October,2018,0
Medchal0,01-11-2018,November,2018,0
Medchal0,01-12-2018,December,2018,0
Nagarkurnool0,01-01-2018,January,2018,35
Nagarkurnool0,01-02-2018,February,2018,15
Nagarkurnool0,01-03-2018,March,2018,14
Nagarkurnool0,01-04-2018,April,2018,15
Nagarkurnool0,01-05-2018,May,2018,19
Nagarkurnool0,01-06-2018,June,2018,15
Nagarkurnool0,01-07-2018,July,2018,17
Nagarkurnool0,01-08-2018,August,2018,22
Nagarkurnool0,01-09-2018,September,2018,22
Nagarkurnool0,01-10-2018,October,2018,8
Nagarkurnool0,01-11-2018,November,2018,30
Nagarkurnool0,01-12-2018,December,2018,10
Nalgonda,01-01-2018,January,2018,0
Nalgonda,01-02-2018,February,2018,0
Nalgonda,01-03-2018,March,2018,0
Nalgonda,01-04-2018,April,2018,0
Nalgonda,01-05-2018,May,2018,0
Nalgonda,01-06-2018,June,2018,0
Nalgonda,01-07-2018,July,2018,0
Nalgonda,01-08-2018,August,2018,0
Nalgonda,01-09-2018,September,2018,0
Nalgonda,01-10-2018,October,2018,0
Nalgonda,01-11-2018,November,2018,0
Nalgonda,01-12-2018,December,2018,0
Nirmal,01-01-2018,January,2018,0
Nirmal,01-02-2018,February,2018,0
Nirmal,01-03-2018,March,2018,0
Nirmal,01-04-2018,April,2018,0
Nirmal,01-05-2018,May,2018,0
Nirmal,01-06-2018,June,2018,0
Nirmal,01-07-2018,July,2018,0
Nirmal,01-08-2018,August,2018,2
Nirmal,01-09-2018,September,2018,0
Nirmal,01-10-2018,October,2018,0
Nirmal,01-11-2018,November,2018,0
Nirmal,01-12-2018,December,2018,0
Nizamabad,01-01-2018,January,2018,1
Nizamabad,01-02-2018,February,2018,0
Nizamabad,01-03-2018,March,2018,0
Nizamabad,01-04-2018,April,2018,0
Nizamabad,01-05-2018,May,2018,0
Nizamabad,01-06-2018,June,2018,0
Nizamabad,01-07-2018,July,2018,1
Nizamabad,01-08-2018,August,2018,0
Nizamabad,01-09-2018,September,2018,0
Nizamabad,01-10-2018,October,2018,0
Nizamabad,01-11-2018,November,2018,0
Nizamabad,01-12-2018,December,2018,0
Peddapalli,01-01-2018,January,2018,0
Peddapalli,01-02-2018,February,2018,0
Peddapalli,01-03-2018,March,2018,0
Peddapalli,01-04-2018,April,2018,0
Peddapalli,01-05-2018,May,2018,0
Peddapalli,01-06-2018,June,2018,0
Peddapalli,01-07-2018,July,2018,0
Peddapalli,01-08-2018,August,2018,0
Peddapalli,01-09-2018,September,2018,0
Peddapalli,01-10-2018,October,2018,0
Peddapalli,01-11-2018,November,2018,0
Peddapalli,01-12-2018,December,2018,0
Rajanna0Sircilla0,01-01-2018,January,2018,0
Rajanna0Sircilla0,01-02-2018,February,2018,0
Rajanna0Sircilla0,01-03-2018,March,2018,0
Rajanna0Sircilla0,01-04-2018,April,2018,0
Rajanna0Sircilla0,01-05-2018,May,2018,0
Rajanna0Sircilla0,01-06-2018,June,2018,0
Rajanna0Sircilla0,01-07-2018,July,2018,0
Rajanna0Sircilla0,01-08-2018,August,2018,0
Rajanna0Sircilla0,01-09-2018,September,2018,0
Rajanna0Sircilla0,01-10-2018,October,2018,0
Rajanna0Sircilla0,01-11-2018,November,2018,0
